"artist","songs","n","album_art"
"Billie Eilish","Happier Than Ever - Edit",1,"https://i.scdn.co/image/ab67616d0000b27331aa3ebe23f59778bff800c9"
"Brooke Alexx","All My Exes' Moms",1,"https://i.scdn.co/image/ab67616d0000b273ad970d1fe314b677f872675a"
"Conan Gray","Alley Rose, Memories",2,"https://i.scdn.co/image/ab67616d0000b273d8467fc5cbebe106a595538a"
"Dove Cameron","We Go Down Together (with Khalid)",1,"https://i.scdn.co/image/ab67616d0000b27301c4d0a569ce0b249012a99f"
"Dua Lipa","Training Season",1,"https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d"
"FLETCHER","Sting, Pretending, Maybe I Am, Lead Me On, Ego Talking, Eras Of Us, Becky's So Hot, Doing Better, Joyride, I Think I'm Growing?, Suckerpunch, Healing, Serial Heartbreaker, Her Body Is Bible, Better Version, Two Things Can Be True, Attached To You, Antidote, Crush",24,"https://i.scdn.co/image/ab67616d0000b2736e0d8199637baad3e4ce6615"
"Halsey","New Americana",1,"https://i.scdn.co/image/ab67616d0000b27374fefed78db6d6cf4d963fdc"
"Isabel LaRosa","eyes don't lie",1,"https://i.scdn.co/image/ab67616d0000b2734ef1f68a04d2be56a342d84a"
"JVKE","this is what autumn feels like, this is what falling out of love feels like, this is what winter feels like, i'm not okay",4,"https://i.scdn.co/image/ab67616d0000b273c1cde30db7c765496c8c0e0e"
"Kate Bush","Running Up That Hill (A Deal With God)",1,"https://i.scdn.co/image/ab67616d0000b273ad08f4b38efbff0c0da0f252"
"Kylie Minogue","Padam Padam",1,"https://i.scdn.co/image/ab67616d0000b27397382c8f649a621b96bbb819"
"Leah Kate","10 Things I Hate About You",1,"https://i.scdn.co/image/ab67616d0000b2732f35152ea0744bab4fafac46"
"Miley Cyrus","Wildcard",1,"https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5"
"Måneskin","TIMEZONE",1,"https://i.scdn.co/image/ab67616d0000b273c1b211b5fcdef31be5f806df"
"Niall Horan","Heaven",1,"https://i.scdn.co/image/ab67616d0000b2732a368fea49f5c489a9dc3949"
"Olivia Rodrigo","making the bed, vampire",2,"https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d"
"Reneé Rapp","In The Kitchen, Poison Poison",2,"https://i.scdn.co/image/ab67616d0000b2737251a75664414e04757eafe7"
"Sarah Cothran","Baby Why",1,"https://i.scdn.co/image/ab67616d0000b273e0c597ba5a131b3a00e16fbd"
"Stephen Sanchez","Evangeline, High",2,"https://i.scdn.co/image/ab67616d0000b273199b850d4877866cf7e318d1"
"iamnotshane","Maybe My Soulmate Died",1,"https://i.scdn.co/image/ab67616d0000b2739e7ac1be13e6de9feaa84ea6"
