artist_name,track_id,valence,tempo,liveness,danceability,energy
Rezz,4QedRNEQWPPRQwwiSU18rn,0.266,179.98,0.0553,0.693,0.595
Rezz,1gK4D83DSL023cYBsuhIQV,0.397,160.008,0.0474,0.71,0.522
Rezz,4bmvfx88H75CcEE0mKXD3q,0.301,104.997,0.102,0.753,0.527
Rezz,4Ft6PIfruwhXypkAeT4S0u,0.0417,170.027,0.124,0.691,0.704
Rezz,4asQ5mh9ICeo3IatRJKKIt,0.676,95.003,0.337,0.814,0.894
Rezz,7mGgDEGaQ1fiLa1KSHvVc4,0.0464,95.007,0.311,0.625,0.76
Rezz,4MwrhKmY65aZglCSEly7KG,0.348,103.988,0.0972,0.631,0.8
Rezz,0LFEYK414JeUEFnx9CggX7,0.254,169.931,0.215,0.722,0.786
Rezz,33kcGOK3uSGYI4uuKIdukl,0.311,95.002,0.0691,0.483,0.908
Rezz,3Dfy5u28HChURIwcCL4Rto,0.0762,169.946,0.883,0.61,0.874
Alison Wonderland,1imPiGCRV9jQKShxESv3Tt,0.499,144.994,0.479,0.741,0.841
Alison Wonderland,4HrI0DIPyvRF1cxUUAGQJc,0.293,174.034,0.386,0.581,0.865
Alison Wonderland,4fdo8V4TLA1aonfI4NxFjE,0.105,140.007,0.189,0.56,0.555
Alison Wonderland,27xk5s3fAAwfvptEshbM3J,0.285,134.995,0.484,0.612,0.668
Alison Wonderland,5qdPqyF6mc5rJBmQW5ppgA,0.114,135.985,0.573,0.416,0.594
Alison Wonderland,1UoTyVpNXRMIcO35M14lRB,0.447,160.048,0.34,0.549,0.702
Alison Wonderland,6Apozxrk03AIyQwyswUjbt,0.227,94.052,0.481,0.551,0.681
Alison Wonderland,0CqGCpNdOktUrsTUEkWozV,0.511,161.964,0.0897,0.653,0.656
Alison Wonderland,0Kd7GHTM4093wuWwWCs3e7,0.287,150.072,0.418,0.506,0.849
Alison Wonderland,3pap35nZotIOQJBYZbtYeM,0.339,164.064,0.065,0.62,0.949
Alison Wonderland,7qEsrWCvoL31GYdzLkBQzm,0.464,118.922,0.0346,0.667,0.526
Alison Wonderland,1Cnb8dDwWgvodEpD97S97O,0.114,102.483,0.329,0.298,0.519
Alison Wonderland,0USj9HRTlVVvi8pCspwSRE,0.422,148.088,0.297,0.623,0.907
